Keyword Phrase,Search Volume,Search Volume Trend (%),Search Frequency Rank,Search Frequency Rank Trend (%),Top 3 ASINs Total Click Share,Top 3 ASINs Total Click Share Trend,Top 3 ASINs Total Conv. Share,Top 3 ASINs Total Conv. Share Trend,Top 1 ASIN,Top 1 ASIN Click Share,Top 1 ASIN Click Share Trend,Top 1 ASIN Conv. Share,Top 1 ASIN Conv. Share Trend,Top 2 ASIN,Top 2 ASIN Click Share,Top 2 ASIN Click Share Trend,Top 2 ASIN Conv. Share,Top 2 ASIN Conv. Share Trend,Top 3 ASIN,Top 3 ASIN Click Share,Top 3 ASIN Click Share Trend,Top 3 ASIN Conv. Share,Top 3 ASIN Conv. Share Trend,Competing Products,Top 3 Clicked ASINs Monthly Average Age,Top 3 ASINs Total Monthly Sales,Top 3 ASINs Total Monthly Revenue,Top 3 ASINs Total Review Count,Top 3 ASIN Total Average Rating
apple pencil,619658,53.6,92,43,55.8,-8,41.8,-11.3,B07K1WWBJK,20.6,-16.2,17.7,-15.5,B0BW8LQKL4,20,2,15.5,1.3,B0CL7J12YK,15.2,6.2,8.6,2.9,341,34,56509,3629635.61,96163,3.1
ingrown hair treatment,613393,1593.9,207,98,80.3,39,0.1,-25.1,B0D8BNF36P,49.4,33.4,0.1,-7.3,B0D923TLNX,20.9,4.9,0,-11.8,B0DCJHDPKF,10,0.8,0,-6,568,4,219,4325.97,11371,1.5
stanley cup accessories,613393,43.7,80,53,13.2,-1.1,1.7,-2.4,B0CX1GBBW2,4.7,-1.8,1,-1.1,B0CP7P7S1S,4.5,0.6,0.1,-0.8,B0BY4S7JZ8,4,0.2,0.6,-0.5,8000,,20207,161385.37,1427,4.6
dresser,609393,16.4,71,19,11.3,3.1,6.6,2.8,B0CRVLVM9M,4,0.8,2.4,1.2,B09MVRQVX4,3.7,1.1,2.8,0.8,B0CN6VH5HT,3.6,1.1,1.3,0.8,7000,18,24859,1193937.63,13822,4.3
gaming chair,609393,-0.6,64,12,21.6,-3,11.3,-0.4,B0BBPRZHRX,11.7,-2,4.5,-3.1,B01MRZ02TL,5.6,-1.4,4.7,1.7,B0CWNYX31T,4.3,0.5,2,0.9,1000,42,26147,2640026.89,89849,4.4
lash clusters,605475,56.1,110,50,29.1,0.5,9,-5.4,B0D5Y1QZBC,13.1,-0.3,0.3,-7.7,B0C74B6XN8,10.2,0.7,5.6,0.8,B0CSRMJ5XL,5.8,0.1,3.2,1.4,4000,9,70430,953545.43,11887,4.2
queen bed frame,601636,10.3,70,19,13,2.6,10.9,4.4,B0B8VQLN6Y,6.4,2.7,7.9,6.6,B0C9QBVNW8,4.1,0.6,1.4,0,B0BP6Q6LR7,2.5,-0.7,1.6,-2.2,6000,21,77698,6118116.92,14495,4.6
portable charger,597877,0.1,73,-4,25,-0.2,20.8,2.2,B07CZDXDG8,14.7,0.8,14.2,1.3,B07XFBN7HX,5.3,-0.5,4.4,1.2,B0CFHL4QJN,4.9,-0.5,2.1,-0.3,3000,52,51109,934546.13,167836,4.4
the,597040,11.3,208,-21,49.9,10.2,0,0,B08762WJZN,18.9,3.2,0,0,B0875Q62PG,16.6,2.9,0,0,B0CV4FCN7H,14.4,4.1,0,0,37,,,,,
iphone,594521,-14.5,81,-3,18.1,-6.9,8.7,-1.2,B0CHBQTL9Z,10.9,-0.6,1.2,0.7,B088NQSLGN,3.7,-6.1,5,-1.8,B08PNM1LNZ,3.6,-0.2,2.5,-0.1,347,37,,,267,1.4
eggs,594191,23.6,74,46,20.7,0.4,19.1,1.8,B01MZHDHVM,8.1,0.5,7.8,0.6,B07ZS6WCZG,6.7,-0.6,5,-0.7,B00M1QWODW,5.9,0.7,6.3,1.9,5000,89,149,1546.45,40903,4.8
vanity,587143,-0.5,76,6,14.3,-0.6,8.1,-0.8,B0CWTY11L7,5.8,-2.2,1.6,-2.8,B0BRXTTVRQ,4.4,0.9,4.1,1.9,B0D7CD9F1P,4.1,0.7,2.4,0.1,3000,11,6548,1000371.88,2059,4
nintendo switch,587035,-12.7,72,-31,47.2,-4.2,38.6,8,B0BFJWCYTL,28.1,1.5,23.8,5.5,B092VT1JGD,11,-6.8,5.8,-3.6,B07VJRZ62R,8.1,1.1,9,6.1,60000,42,8039,2078670.22,87640,4.8
fallout,583558,-35.3,96,-26,62.1,2.4,0,0,B0CW635HFH,26,-1.4,0,0,B0CN4J59BF,22.7,3,0,0,B0CJP9FJDC,13.5,0.7,0,0,4000,,,,,
sol de janeiro,583558,-38.7,91,-117,35.1,1,24.8,-1.9,B09W18N3GT,15.4,2.9,12,0.3,B0B4HKNDLQ,10.4,-1.9,7.1,1.7,B0CN3QCQTD,9.3,0,5.8,-3.8,173,35,228190,5840617.69,92910,4.5
iphone 15 pro case,576802,9.8,82,18,21,1.7,10.7,-0.1,B0CC1F5CGH,11.4,2.6,7.2,1.7,B0CGXHRDN9,5.2,-0.2,1.4,0.1,B0CGCLFTRX,4.4,-0.7,2.1,-1.9,30000,14,48519,969862.99,104081,4.6
portable air conditioners,575208,-64.6,141,-781,19.8,7.8,1.3,-4.6,B0D79B8J58,7.5,2.5,0,-2.2,B0D3XJW54K,7.4,3.6,0.7,-0.9,B07YPV7SN6,4.9,1.8,0.5,-1.5,6000,20,1550,400132.18,177,3.2
press on nails,573519,16.6,78,32,13.1,-0.9,5.4,-1,B0CMH8G5MF,6,-0.3,1.9,-0.1,B0CTHDFFCR,3.5,-0.5,1.9,-1.8,B0B46B9PYT,3.5,-0.1,1.6,0.8,10000,15,22041,264116.8,4026,4.2
sex toys,570293,-4.1,88,3,22.7,-1.5,5.2,1.4,B0C5L5PKXD,11.7,-3.1,0.2,0,B0BKQKX19J,5.7,0.3,3,1,B0C5ND54JW,5.3,1.3,2,0.4,30000,19,,,5076,3.9
iphone 15 case,570293,26.7,86,34,22.2,2.5,12.7,0.7,B0CC1FTGMB,13.2,2.4,7.8,0.8,B0CXCR3W4S,4.6,-0.4,3.4,0.2,B0CHBCGP5R,4.4,0.5,1.6,-0.3,30000,12,56142,874670.07,124896,4.5
wedding guest dresses for women,565604,48.1,95,58,4.2,-1.6,0.3,-0.2,B0CN64VSG3,1.6,-0.7,0.1,-0.1,B0CN8YQS2L,1.4,-0.7,0.1,-0.1,B0CN65BY5Y,1.2,-0.2,0.1,0,20000,,62021,2892053.18,3591,4.4
iphone 14 case,560959,6.3,85,19,20.6,3.1,9.5,-0.3,B099JVC9HL,10.7,3.8,6.5,3.7,B0BX8PR1KT,5.2,-0.8,2.4,-1.7,B0CY9HJWZY,4.7,0.1,0.7,-2.3,40000,21,49553,670980.13,106567,4.6
the lord of the rings: the rings of power,559055,3065.5,277,98,49.9,-5.3,0,0,B0B8KWCS2K,19.8,-8.5,0,0,B0C5FGDTVN,16.8,0.7,0,0,B09QHCPD34,13.3,2.5,0,0,298,,,,,
transformers,555873,-16,106,2,55.1,5.6,0,0,B0BX24RV7D,31,1.1,0,0,B00BTO5THK,17.7,5.8,0,0,B00BR4LSR2,6.4,-1.3,0,0,7000,,,,,
tw,555003,1623.7,223,98,93.7,28.9,0,0,B00CYWURLO,80.9,30.9,0,0,B00S08WII6,11.7,3.3,0,0,B00CRO0VH4,1.1,-5.4,0,0,33,,,,,
coffee maker,552746,-20.8,102,-32,19.8,1.8,22.3,-1.5,B0C8B9V7HR,8,1.7,11.5,2.4,B01GJOMWVA,6.2,-0.1,9.1,-0.6,B07N3G8GRY,5.6,0.2,1.7,-3.3,3000,77,162235,7570993.78,151331,4.4
botox stock solution facial serum,552100,142.1,538,75,98.9,14.4,1.1,-10,B0DCBLQKGG,67.1,27.2,0,0,B0DCNRZBNV,30,-2.7,1.1,-10,B0DCNRRMLL,1.9,-10.1,0,0,171,2,49,782.99,,
electric scooter,549677,36.1,119,20,22.2,5.4,18,6.8,B086JHCJTX,9.5,1.7,8.1,4.2,B0CQVK769J,6.9,2.2,4.9,1.9,B0CND33L6H,5.7,1.5,4.9,0.7,1000,19,10671,3187294.85,3226,4.2
batana oil for hair growth,549246,-6.4,133,22,38.6,-1.2,14.7,14.6,B0DC6KTVY9,16,-6.1,0,0,B0DCFWFGLP,13.8,5,0,0,B0CP913K5G,8.8,0,14.7,14.7,1000,4,29394,631883.09,2787,1.3
bad,546847,-12.9,314,13,84,10.2,0,0,B0D52LSLMK,52.9,18.6,0,0,B0D94SWLRK,17.9,-5.8,0,0,B09QFZ3JD4,13.2,-2.6,0,0,20000,,,,,
blackout curtains,546440,-32.6,84,-27,29.5,-0.5,9.9,-0.4,B01CS31R94,20.1,-1.4,7.3,-0.5,B0881QG5WK,4.8,0.3,1.5,0,B07D6HCZTY,4.6,0.6,1.1,0.2,10000,80,156480,2473361.28,203869,4.6
kindle paperwhite,543699,-57.3,123,-547,62.7,-4.2,36.1,3.5,B09TMN58KL,28.5,-1.3,17.1,7.5,B09TMZKQR7,20.4,-0.6,12.3,-3.1,B09SWW583J,13.7,-2.3,6.7,-0.9,155,,,0,,
nasal strips for snoring,543608,38.9,377,3,64,9.4,2.4,2.4,B0D72JQ78Z,36.5,16.8,0,0,B0D9W5ZR8F,13.8,-4.4,0.8,0.8,B0DCNL9V3D,13.7,-2.9,1.6,1.6,650,5,449,6701,1554,3.2
tv,537927,-56.2,111,-455,31.3,1.1,31.6,1.3,B09ZLTMWWH,14.8,0.6,16,-2.4,B0CXG3HMX1,9.4,0.9,8.6,1.6,B0BCMND272,7.2,-0.4,7.1,2,80000,18,10950,1731150.11,262,1.3
fall decorations for home,535113,598.8,273,95,14.9,-0.1,5.1,0.5,B0B3J41CR5,6,0.7,2.2,1.2,B0BW9C1VF4,4.9,-0.4,2.1,0.4,B0D5YS5FTM,4,-0.5,0.9,-1.1,70000,17,37498,469077.34,5815,4.4
amazon gift card,535070,5,90,25,35.3,0.2,31.4,-1.2,B07PCMWTSG,18.9,-1.3,23.2,-1.3,B06WVJBLBQ,8.4,0.8,3.7,-0.1,B0B9SJL23F,8,0.7,4.6,0.2,984,58,,0,,
twisters 2024 movie,533068,241.8,345,90,88.2,-3.5,36,36,B0D6XN334B,51.3,-7.9,0,0,B0D6XD5WMW,31.3,8.6,0,0,B0D8WHMP8R,5.6,-4.2,36,36,98,,2476,66882.53,1158,1.4
ryze mushroom coffee,532347,32.7,173,26,19.2,-0.8,11,-1.8,B0D9JN8F8F,7.3,-0.7,2.5,-4.4,B0DDTZRNPV,6.6,0.3,4.5,2.5,B0C8WGD562,5.3,-0.4,4,0.2,289,7,26351,557559.58,4298,3.4
shower caddy,530519,24,104,5,29.2,0.9,22.6,1.2,B0BLSCY6PR,16.2,2.8,12.7,3.9,B09SZ9T4MV,8.5,-2.2,5.8,-3.8,B0CRL16CR6,4.5,0.3,4.1,1.1,3000,21,136680,2352297.45,41285,4.6
queen mattress,528301,6.1,89,5,14.8,3.9,7,2,B0889FJT19,5.4,0.9,0.6,-2.5,B0CVL93Q1K,5,1.7,3.1,2.8,B0CKYZ3B83,4.4,1.3,3.3,1.7,30000,26,81233,18972110.13,165391,4.4
compression socks for women,526950,25.7,100,29,16.8,5.5,1.7,0.6,B0CF18JW6S,8.5,4.3,0,-1.1,B0D75SW6DH,4.7,0.8,0,0,B07VWT4XRG,3.6,0.4,1.7,1.7,10000,,185775,855581.51,163545,4.5
rice cooker,524317,-5.3,112,-11,32.3,4.3,29.2,5.6,B00N9N6GOY,19.6,4.9,18.5,5.4,B016Y8JSK4,6.7,-0.5,6.7,1.4,B0CP8KDM8R,6,-0.1,4,-1.2,1000,80,28246,789016.65,73653,4.5
new balance womens sneakers,520700,-0.2,109,16,9.9,0.1,1.2,0.5,B0D5LK11LW,3.9,-0.4,0,-0.5,B093QK8S8R,3.3,-0.6,0.6,0.6,B093R59MRG,2.7,1.2,0.6,0.4,1000,,155925,9354518.08,26870,4.6
gift cards amazon ecard,518336,20.3,114,17,40.1,-0.8,43.9,-0.8,B07PCMWTSG,20,-0.6,20.9,-0.5,B09KXT1HLH,14.8,-0.2,17,-0.3,B0BXD2TYS8,5.3,0,6,0,706,40,,0,,
digital camera,514304,-34.9,157,-292,42.2,-4.8,23.3,0.2,B0BTCZ2RR9,31.8,2.3,14.4,1.5,B0D1G85PLK,5.6,-7.2,4.4,-1.8,B0D12TN394,4.8,0.2,4.5,0.5,2000,11,17449,779061.76,5735,4.3
makeup bag,509031,33.6,143,22,19.2,2.1,10,3.2,B09QC6W1PD,8.3,1.8,5.6,2.6,B0CSYRRHN5,6.2,0.8,3.1,1.6,B0C2PQ4DKQ,4.8,-0.5,1.3,-1,20000,,24302,213022.97,16501,4.6
ring camera,504679,-49.1,140,-218,47.8,1.7,34,16.1,B08N5NQ869,21.3,-0.1,11.7,0,B0B6GLQJMV,19,5.1,19.5,15,B09JZ5BG26,7.5,-3.3,2.8,1.1,746,,13612,871967.46,205537,1.5
sprayground backpack,501438,-7.5,199,40,15.7,4,4.3,-4.4,B0DBNLSY1W,7.3,2.5,0.9,-5.5,B0D8H82VRP,4.6,0.8,0.7,0.1,B0D9B6K8GZ,3.8,0.6,2.6,1.1,657,,556,50815.41,4,3.3
reacher,501280,19.2,129,43,46,9.7,0,0,B0CNV5H2W5,18.7,4.8,0,0,B09ML1GHXS,14.2,2.6,0,0,B09P4BWY8H,13,2.3,0,0,5000,,,,,
car accessories,500129,19.6,103,28,12.3,-2.7,5,-0.8,B07Q6CPQK4,4.7,-1.6,1.7,-0.7,B0C4LJ9MLL,4.1,-1.1,2,0.3,B0CM6KVCSX,3.5,-0.1,1.3,-0.4,100000,,39434,514492.64,80877,4.5
dresser for bedroom,496669,17.6,125,12,9,-1.9,5.7,-1.2,B0D3X8GQS4,3.7,-0.3,2.6,-0.9,B09MVRQVX4,3.3,-0.4,2.9,0,B0CLM9WLKT,1.9,-1.2,0.3,-0.3,10000,17,19693,1319537.75,13350,4.2
hand sanitizer,492191,40.8,147,53,27.6,-0.2,25.1,0.3,B078J5682K,10.7,-1.8,10.3,-1.5,B087781VTJ,10.6,1.7,9.8,1.6,B0BNP5KYVF,6.4,-0.1,5,0.3,2000,33,82438,694895.47,10546,4.7
magnesium,491485,19.5,107,29,34.6,-0.2,31.4,1.3,B00H5PJ0HW,14.5,-2.7,13.7,-1.5,B0002VG3QC,13.3,2,12.7,1,B07P5K7DQP,6.9,0.5,5.1,1.9,3000,214,187051,3889161.43,145134,4.7
dog eye drops,487745,35.1,562,26,95.5,5.3,0,0,B0DCJ46JBM,42.8,-26.6,0,0,B0D8VYNNH3,34.4,22.3,0,0,B0DBQ4T9V4,18.3,9.6,0,0,259,2,14,277.32,222,3.2
evil,484005,33.8,272,3,50.4,20.6,0,0,B0CGX74Y3D,18.3,6.4,0,0,B0D9MZZZXY,18.3,7,0,0,B0CJB36KKP,13.9,7.2,0,0,30000,,,,,
fan,482850,-34.6,136,-92,26.5,0.1,28,-0.1,B001R1RXUG,14.3,3.2,22.3,14.9,B09MKPDJRT,7.6,-2,4.1,-8.9,B0CTCWLV35,4.6,-1,1.6,-6.1,20000,77,200779,8662140.88,151139,4.5
tonsil stone remover,480679,-28.8,569,-62,76.3,13.8,0.1,0.1,B0DCJD7M63,33.9,2.6,0,0,B0D7Z4W61R,24.7,6.5,0.1,0.1,B0D6BS51CX,17.7,4.8,0,0,291,3,613,11153.6,1403,3.2
kinesiology tape,476363,1086.4,983,87,79.3,45.2,22.2,0.2,B0D9234X8K,53.1,34.7,0,-12.2,B0DCN9PYZ8,18.5,10.4,0,-6,B0BKSKYJSH,7.7,0.1,22.2,18.4,772,10,21851,218671.86,941,1.4
the serpent queen,472738,332.5,329,88,58.6,16.8,0,0,B0D45X4396,26.4,10.5,0,0,B0D1CVDFRD,16.7,1.6,0,0,B0D49DRVTY,15.5,4.7,0,0,104,,,,,
dresses for women,472370,15.1,113,5,2.9,0.7,0.5,0.1,B09ZLGP4QR,1,0.2,0.1,0,B0B24PVTYC,1,0.2,0.1,0.1,B0B24TFG85,0.9,0.3,0.2,0.1,60000,,82835,2972940.13,14135,4.3
gel nail polish,465235,-9.6,122,-26,19.9,4.2,13.6,4,B09KC56289,8.3,1,5.5,0.5,B0CMHQGL4X,6.5,2.2,6.1,5.3,B0CGZBNB24,5.1,1,1.9,-1.8,10000,20,81290,1740647.03,48144,4.4
divorce in the black tyler perry,461322,-83.5,763,-18975,97.9,-1.1,0,0,B0CYMPBT9Q,91.7,-1.5,0,0,B0CYM5WL69,5.7,0.4,0,0,B0CYMRPFWV,0.5,0,0,0,62,,,,,
ps5 controller,457838,-19.7,130,-46,33.1,-4.8,28.1,2.1,B0CQKKHT5J,16.9,-5.2,15.2,6.6,B0CJT9WCRD,8.7,0.2,2.6,-6.1,B0CQKLS4RP,7.4,0.2,10.3,1.6,50000,10,13193,934538.66,110019,4.7
olympics 2024,454354,20,5121,-380,82.6,-4.9,0,0,B0D8P1H137,72.5,-6.6,0,0,B0D8NGZRKT,7.6,1.3,0,0,B0CVMTVCTL,2.5,0.4,0,0,2000,,,,,
laundry detergent,452963,11.9,115,24,24.4,0.8,22.6,1.3,B0BSNXFDML,10.1,-0.1,9.2,1.6,B0C35Z66QV,8.5,-0.2,7.6,-1.3,B0BSNXN4YX,5.9,1.1,5.8,0.9,3000,20,207524,3085600.47,122961,4.8
rakhi for brother,449856,636.3,549,93,10.7,-5.8,5,-6.8,B07RGZS8D7,4.4,-4,2.1,-3.3,B07DZTZHFZ,3.5,-0.8,1.8,-2.5,B07RGPCXX5,2.7,-1,1.1,-1,1000,,6363,67413.12,2630,4.2
laundry basket,449029,13.8,116,26,16.7,-0.9,13.1,-0.8,B0BVBG292Q,6.4,-2,4.9,-2.4,B0882ZPRF7,5.6,0,3.9,-0.3,B09KT67BL1,4.8,1.1,4.3,1.9,6000,27,86734,1807472.08,34178,4.5
desk chair,448203,10.9,124,24,22.9,6.9,18.3,7.5,B0CZLHFWL8,12.1,4.9,6.4,-1.3,B08KSCDM47,6.5,1.2,7.2,5.1,B07B7K7N3P,4.3,0.8,4.7,3.7,7000,47,112572,5225419.61,78239,4.3
neck massager for pain relief deep tissue,447376,7.7,402,3,80.2,-12.8,0.5,-10.8,B0D9YQCQN6,63.3,-3.6,0.4,0.4,B0D5D6WC6K,9.5,-15.8,0.1,0,B0D2RKW8TJ,7.4,6.6,0,-11.3,2000,5,262,7669.84,122,1.6
wireless mouse,446550,24.5,118,53,33,1.7,26.5,1.1,B005EJH6Z4,13.4,0.5,11.9,0.3,B004YAVF8I,10.9,0.9,9.9,1.1,B015NBTAOW,8.8,0.4,4.7,-0.2,20000,118,,,88019,3
weight loss,444888,299.6,774,55,48.3,21.8,5.8,-10.9,B0D966XYVG,33.6,24.6,0,-6.6,B0D95QH8C1,9,-0.1,0,-5,B07PN7FB1R,5.7,-2.7,5.8,0.8,30000,24,27537,804005.93,21123,3
walking pad,443246,-29,182,-61,37.3,-4.1,25,0,B0C48GQJNC,19.1,-2.8,12.5,-0.6,B0C3QY37Y8,9.4,-5.2,8.2,-1.1,B0CGRLN3FW,8.8,4,4.3,1.7,1000,17,42599,6638430.61,9461,4.3
nmn,442420,7.8,1517,-147,87.8,27.5,12.7,12.6,B0CQSC3PKH,84.7,47.8,0.2,0.1,B0CKCPRG5W,1.8,-10.9,6.8,6.8,B07TK5K5TQ,1.3,-9.3,5.7,5.7,398,34,12879,635308.69,13558,4.5
baby wipes,439116,5.6,121,18,25.6,-1.6,22.2,-2.1,B07H4V7M4C,9.4,-0.1,7.9,-0.1,B07H53W5WP,8.3,-0.7,7.7,-0.7,B007C8NJCE,7.9,-0.8,6.6,-1.2,538,101,42240,575458.07,182256,4.7
backpack for school,437827,16.2,285,4,16,2.4,10,1.7,B0007QCQGI,7,1.9,3.3,1.6,B06XZTZ7GB,5.8,1.1,3.8,0,B07CPW148Z,3.2,-0.6,2.8,0.1,30000,,147382,5330215.25,157635,4.6
pill organizer,436636,8.7,135,30,20.2,0,17.6,0.1,B0BQJ2XZWF,8.6,0.9,6.2,0.8,B001OK1YUA,6.7,0,6.5,0.1,B07794YMY7,4.9,-0.9,4.8,-0.7,5000,98,99777,716522.12,156045,4.7
bathroom rugs,435810,8.8,126,14,23.8,0.2,10.4,0.2,B0CBP8CL71,13.5,-0.2,6.1,-0.2,B0CFGYFCYL,6.1,-0.2,2.7,0,B07FPQZG6V,4.1,0.6,1.6,0.5,10000,32,244471,2382005.85,111970,4.4
owala water bottle 32oz,435810,25.2,142,54,72.9,3.9,9.5,-1,B0BZYBP74R,60.7,23.6,7.2,3.2,B085DVNHHK,6.5,-20,2.2,-4.2,B0CRCJY6YH,5.7,0.2,0.1,0,418,28,134387,4762301.37,161634,4.7
dildo,435348,-33.5,127,-84,29.3,-12.2,15,3.8,B08JL9Z97C,17,0.8,8.8,8.8,B0CYBNWRJF,7.1,-5.6,1.4,-9.7,B0C4GZ7CC4,5.2,-7.4,4.8,4.8,9000,24,,,3018,4.4
hangers,434159,14.4,138,29,31.5,6.7,18.5,3.8,B0756DXV8M,11.5,2,5.1,0.5,B06X421WJ6,11.5,3.6,8.6,3,B01IRHUV6A,8.4,1,4.8,0.3,8000,88,269454,5370132.42,325395,4.8
paper plates,432506,7,128,24,50.1,-0.4,44,1,B0C2CY22B8,28,-4.1,22.7,-3.5,B0748J34WZ,15.5,3.8,14.8,4,B09RSC2JT3,6.6,-0.1,6.6,0.5,7000,44,312918,3095701.43,71089,4.7
hand soap,431680,12.9,134,32,19.1,0.2,16.8,1.7,B079FV6PRH,7.3,-0.5,7.3,0.1,B07TJG79HP,6.5,0.8,5.3,0.7,B004SNAGRC,5.3,-0.2,4.3,0.9,7000,102,185680,1898175.43,113669,4.8
beats headphones,430409,19.7,155,69,41.1,-0.1,23.1,-2.9,B0C8PR4W22,19.6,-2.2,10.4,-7,B07YVYZ8T5,12.7,1.3,7.3,0,B0CZPLV566,8.8,0.9,5.4,4.1,1000,27,22474,3958147.4,92551,4.5
tattoo cover up makeup waterproof,427587,9.6,2253,-173,64.8,-27.1,0,-1.9,B0D8L88FP7,23.4,-48.1,0,0,B0DCHWLHDM,22.5,8.9,0,0,B0D7S212NP,19,12.1,0,-1.9,265,3,82,1233.23,128,4.6
ear buds,427549,-30.5,139,-42,14.5,-2.2,9.7,4.3,B07PXGQC1Q,5.6,-1.1,3.6,-0.2,B0DBVPHLKK,4.5,-0.5,3.6,3.4,B0BQPNMXQV,4.4,-0.6,2.5,1,8000,31,61186,3375220.92,648655,4.6
ear plugs for sleeping noise cancelling,427549,99.9,407,68,97.8,1.3,0.4,0,B0DDC6RSHP,38,-10.3,0.3,0.2,B0DDK8VGTR,29.9,-12.7,0.1,0.1,B0D6BJKS4C,29.9,24.3,0,-0.3,1000,2,671,12581.51,1125,4.9
pheromone perfume for women,425072,145.6,743,82,96.1,-1.6,0,-12.9,B0D9BGS239,74.3,-2.1,0,-1.2,B0D66S8JWF,13.4,-7.4,0,0,B0D9NW6C45,8.3,7.9,0,-11.7,1000,4,114,1964.43,,
fire country,424699,893.3,286,97,76.8,25.6,0,0,B0CH7776XM,39.5,19.7,0,0,B0CBL4Y1RF,22.3,5.9,0,0,B0CBNGB57M,15,0,0,0,2000,,,,,
the rings of pawer,424327,9988.6,465,98,75.2,5.3,0,0,B0B8KWCS2K,38.9,4.4,0,0,B09QHCPD34,21.9,-1.8,0,0,B0B5W6QDWQ,14.4,2.8,0,0,1000,,,,,
halloween,424003,101.5,219,72,29.6,-3.2,0,0,B00D60Y2BY,17.1,-2.7,0,0,B018A4KKKM,8,1.3,0,0,B0B8P1HNRM,4.5,-1.8,0,0,100000,,,,,
snacks,423211,5.4,149,19,12,-1.6,8.1,0.2,B0BWSKYV63,4.7,-0.3,2.2,-1.7,B00KR7PKTC,4.1,-0.6,3.6,1.8,B06XKHNCZW,3.3,-0.7,2.3,0.2,100000,77,126612,1104830.22,115335,4.8
cat litter,422838,6.9,145,29,22.7,0.4,18.8,0.4,B0009X0QSY,8.9,0,5.5,0,B08CPQVT5N,7.6,0.4,7.2,0.4,B0747RSKTG,6.2,0,6.1,0,1000,136,231401,2619182.95,132393,2.9
covid home test,422093,7.7,151,45,50.2,0.7,46.5,-0.3,B09NY9MMS3,24.2,1.1,25.8,3.6,B09KZ6TBNY,15.1,1.2,15.2,3.5,B0D3T1X1FS,11,-1.6,5.4,-7.4,43,,83604,2934464.53,241466,4.6
extension cord,421722,16.7,153,30,22.3,1.5,15.1,3.2,B00TP1C1UC,9.1,-0.7,4.7,-1.5,B0BWY8FBFP,7,1.2,4.7,1.2,B09PDLBFKY,6.2,0.9,5.7,3.5,7000,56,61263,665390.75,76001,4.8
womens tops,421602,109,201,77,2.8,-0.5,0.3,-0.1,B0CPM31LJV,1,-0.1,0.1,-0.1,B0CD2BFXSQ,0.9,-0.2,0.1,0,B0CTHP42Z9,0.9,-0.2,0.1,0,70000,,90477,1687929.04,4042,4.1
tv stand,421350,6.9,146,13,10.7,1.4,16.7,6.9,B0BVDT8MY9,4,0.2,6,-1.7,B00EDTE2Q2,3.4,0.4,4.2,2.9,B077MJZ6ZG,3.3,0.8,6.4,5.8,30000,78,25807,896336.94,73269,4.4
clorox wipes,421213,13.7,164,37,56.8,-5.3,52.5,-3.4,B00HSC9F2C,33.9,-6.5,33.3,-3.6,B0BNNVT2VH,14.7,0.5,11.3,-0.8,B0CKGBWW8D,8.1,0.7,7.9,0.9,422,55,330726,3986837.03,213529,4.8
shower curtain liner,420977,5.2,148,30,51.3,2.6,35.8,1.3,B08QRFZ6TH,20.7,2.9,12.9,-0.8,B08CRPWQHB,16.7,0,13,3.2,B081J7SBP4,13.9,-0.3,9.9,-1.1,10000,52,290577,2522387.86,181460,4.5
pheromone cologne for men,420801,97.1,356,61,58,-26.1,3.2,2.4,B0DBPRTX11,28.7,-12.8,0.4,-0.5,B0D9BMW47F,14.8,-16.9,2.8,2.8,B0D9NWNL3C,14.5,3.6,0,0,991,2,491,9375.88,246,3.2
pencil sharpener,420606,21,160,60,31.3,3.7,31,0.6,B00IDVE9UA,15.1,5.3,15.6,4.8,B097DPQPYN,9.2,-0.3,9.6,-1.5,B004ZDL0K2,7,-1.3,5.9,-2.7,2000,120,108185,469948.56,50291,4.6
nike socks,420232,3.3,158,28,35.8,6,20.1,1.3,B07CYVDSF4,14.3,0.4,12.8,-0.8,B07MJXX2KN,13.5,5.5,7.3,7.3,B0CPTDHG5Y,8.1,0.1,0,-5.2,3000,,138298,2292487.56,5013,4.6
r,420000,169.3,191,93,49.9,-4,0,0,B0B8KWCS2K,21.6,-14.3,0,0,B09QH9FKP4,19,8.9,0,0,B0CNV5H2W5,9.3,1.4,0,0,90000,,,,,
iphone 14 pro max case,419861,3.5,150,7,15.4,-0.1,8.5,0,B0B7H8X7NF,6.1,0.1,4.3,1.4,B0BX8T9KXN,5.6,0.6,2.8,-0.8,B0B84V2TTH,3.7,-0.8,1.4,-0.6,20000,24,49359,682211.18,114044,4.5
summer dresses for women 2024,419828,-63.6,289,-435,3.3,0.8,0.3,0.1,B09PDH93R7,1.1,0.2,0.1,0.1,B09PD9PG73,1.1,0.3,0.1,0.1,B082MZ27LP,1,0.3,0.1,0,40000,,48947,1585945.45,17919,4.3
electric toothbrush,419489,-32.3,152,-48,33.8,2.7,24,2.1,B072YVWBXH,17.3,0.8,13.5,-0.6,B09LD8T445,10.8,3,7.4,2.6,B0B5HRWH1S,5.7,-1.1,3.1,0.1,945,49,163108,7223607.48,154820,4.5
nespresso pods,418745,4.6,166,6,28.9,-3,26.4,-1.5,B01N05APQY,10.4,-4.1,9.5,-3.3,B0BZJVFFNM,9.5,-1.3,7.4,0,B0768N9N6M,9.1,2.5,9.5,1.8,2000,66,137849,5169317.09,181637,4.8
